poi_idx,region_idx,hotness_idx
0,815,1
1,1239,1
2,776,0
3,1008,1
4,815,1
5,815,1
6,1208,2
7,1128,1
8,1322,1
9,814,0
10,1315,0
11,1403,0
12,917,0
13,1208,0
14,1125,1
15,1319,0
16,1005,0
17,1458,0
18,1319,2
19,1301,3
20,771,1
21,808,1
22,1320,1
23,1579,1
24,577,1
25,568,0
26,753,1
27,1124,1
28,1507,0
29,770,0
30,771,0
31,1516,0
32,664,0
33,1458,7
34,1159,1
35,959,4
36,1459,1
37,932,20
38,1378,9
39,1731,0
40,1403,1
41,699,3
42,1235,1
43,1516,92
44,1297,89
45,1321,4
46,1006,29
47,1006,1
48,1471,9
49,874,0
50,1006,0
51,771,0
52,1296,0
53,1208,2
54,960,3
55,920,0
56,771,1
57,771,0
58,771,1
59,1517,1
60,771,0
61,873,1
62,1517,0
63,976,10
64,1296,2
65,1515,1
66,873,0
67,1319,2
68,963,0
69,1082,1
70,1515,4
71,770,4
72,960,0
73,1376,1
74,476,57
75,770,1
76,1043,18
77,643,3
78,767,2
79,727,8
80,352,40
81,374,35
82,878,0
83,563,7
84,636,5
85,497,0
86,879,8
87,776,2
88,1509,90
89,1318,4
90,708,3
91,547,16
92,744,11
93,1007,6
94,754,28
95,635,35
96,812,3
97,1125,26
98,814,2
99,1006,0
100,1319,59
101,1480,1
102,1376,34
103,71,24
104,435,36
105,1295,2
106,1318,1
107,1124,36
108,1274,12
109,1240,11
110,1201,88
111,932,0
112,929,3
113,1036,53
114,1375,0
115,1375,21
116,839,31
117,446,30
118,571,50
119,1375,4
120,701,1
121,1006,0
122,1509,0
123,664,19
124,1238,0
125,776,29
126,667,2
127,922,1
128,1082,11
129,1237,5
130,577,76
131,1608,14
132,569,45
133,771,14
134,1453,2
135,1174,66
136,1474,14
137,1618,7
138,424,11
139,1606,0
140,1357,7
141,1355,86
142,1377,33
143,1375,93
144,1374,59
145,1351,5
146,1479,43
147,1568,63
148,1485,12
149,1461,13
150,1520,72
151,870,3
152,1322,30
153,713,2
154,1125,3
155,1006,2
156,540,0
157,1375,7
158,1375,4
159,1057,82
160,1057,1
161,808,0
162,1082,0
163,916,47
164,1509,0
165,564,52
166,333,0
167,815,1
168,1479,2
169,1084,6
170,400,5
171,419,18
172,1280,8
173,1280,23
174,742,3
175,999,77
176,1015,3
177,1132,19
178,1209,26
179,1271,10
180,1168,0
181,884,15
182,1323,0
183,319,0
184,374,4
185,1094,41
186,960,1
187,960,1
188,644,25
189,784,2
190,975,91
191,1123,1
192,1568,7
193,48,64
194,340,30
195,932,14
196,1514,35
197,777,0
198,653,22
199,1516,8
200,1321,5
201,771,0
202,810,6
203,698,10
204,968,15
205,875,5
206,604,5
207,801,3
208,693,43
209,754,85
210,995,70
211,905,56
212,461,6
213,285,38
214,1125,0
215,630,0
216,771,3
217,1202,19
218,414,2
219,777,1
220,174,13
221,131,80
222,1295,24
223,776,1
224,143,5
225,1498,11
226,873,12
227,1510,0
228,1164,12
229,762,2
230,1502,14
231,960,2
232,927,0
233,421,3
234,809,0
235,767,33
236,808,3
237,1319,21
238,1238,6
239,1431,6
240,816,0
241,974,1
242,1375,1
243,1404,0
244,1294,6
245,1369,4
246,1347,8
247,776,2
248,471,3
249,541,6
250,603,3
251,1085,23
252,1166,16
253,521,2
254,734,0
255,1515,1
256,499,14
257,1124,0
258,331,9
259,1403,29
260,1510,2
261,1297,7
262,221,74
263,1732,2
264,569,1
265,1703,31
266,516,1
267,1509,1
268,1378,6
269,1304,6
270,1307,43
271,1371,6
272,964,50
273,1515,1
274,1116,15
275,1082,1
276,1571,48
277,562,12
278,1039,7
279,1377,1
280,1300,72
281,1298,1
282,1543,79
283,208,13
284,777,15
285,219,16
286,467,6
287,538,6
288,595,4
289,418,1
290,461,51
291,531,17
292,594,6
293,392,5
294,1104,4
295,339,1
296,270,12
297,1214,0
298,966,7
299,108,15
300,542,44
301,1650,23
302,1120,1
303,200,81
304,134,38
305,28,57
306,770,5
307,753,23
308,754,6
309,232,21
310,138,22
311,138,2
312,150,25
313,1516,32
314,1168,3
315,423,1
316,736,7
317,666,2
318,518,0
319,99,4
320,58,7
321,1210,13
322,1283,7
323,1212,20
324,1580,55
325,454,13
326,510,4
327,1432,7
328,998,2
329,406,4
330,655,16
331,1166,0
332,869,58
333,285,6
334,1236,78
335,1509,0
336,1404,4
337,1300,9
338,1163,0
339,1244,38
340,815,1
341,1086,31
342,911,14
343,1078,1
344,251,19
345,238,0
346,1448,27
347,1510,0
348,1198,3
349,1302,8
350,1726,5
351,1540,24
352,1345,15
353,1278,35
354,873,0
355,1507,22
356,960,1
357,717,8
358,626,9
359,922,31
360,1320,15
361,1533,6
362,1467,1
363,1401,3
364,288,5
365,287,2
366,695,6
367,1330,5
368,1089,32
369,1549,2
370,875,0
371,1543,1
372,967,19
373,1448,1
374,1516,2
375,771,0
376,1005,0
377,771,1
378,352,2
379,171,54
380,1124,0
381,1404,0
382,1200,1
383,716,3
384,631,9
385,471,1
386,1376,1
387,442,12
388,677,8
389,1375,11
390,1639,19
391,1317,1
392,395,5
393,770,0
394,575,1
395,1030,43
396,1168,12
397,1125,2
398,144,1
399,1372,19
400,707,10
401,598,14
402,872,3
403,961,5
404,800,0
405,815,0
406,1366,3
407,332,1
408,1467,20
409,770,1
410,12,2
411,921,1
412,495,0
413,1509,8
414,1509,17
415,1010,1
416,775,3
417,217,2
418,131,2
419,778,1
420,10,6
421,1129,40
422,343,3
423,1332,46
424,1265,21
425,881,3
426,869,3
427,1518,22
428,815,12
429,1112,1
430,1085,2
431,1514,0
432,872,1
433,1089,0
434,735,7
435,574,7
436,871,1
437,1509,0
438,441,3
439,966,1
440,1018,19
441,335,13
442,1553,4
443,1599,7
444,1690,7
445,443,2
446,443,2
447,1078,1
448,470,1
449,1200,0
450,960,0
451,1740,16
452,867,0
453,120,0
454,1319,0
455,1439,2
456,90,18
457,397,1
458,1334,11
459,478,3
460,613,1
461,814,3
462,814,5
463,771,4
464,531,0
465,969,3
466,771,1
467,771,2
468,1343,3
469,770,0
470,561,2
471,257,1
472,878,1
473,1301,5
474,1173,1
475,878,0
476,1265,1
477,1672,0
478,1516,0
479,710,1
480,1719,20
481,382,0
482,1376,42
483,1516,6
484,1553,1
485,1535,3
486,550,32
487,324,16
488,777,4
489,112,4
490,1295,0
491,888,2
492,322,1
493,143,1
494,659,2
495,1452,1
496,1452,3
497,1429,40
498,1322,1
499,338,4
500,839,1
501,378,2
502,551,1
503,880,0
504,259,14
505,35,4
506,105,5
507,999,6
508,1087,12
509,1352,37
510,881,3
511,1157,0
512,999,1
513,770,0
514,1275,3
515,1157,20
516,869,0
517,1196,12
518,1159,6
519,1378,3
520,1327,5
521,514,5
522,1045,14
523,1099,14
524,1296,0
525,938,0
526,1509,2
527,822,4
528,1068,4
529,1426,8
530,116,1
531,737,5
532,691,1
533,725,1
534,310,9
535,964,1
536,693,0
537,519,11
538,941,26
539,1515,2
540,191,0
541,512,21
542,585,65
543,88,2
544,777,1
545,1555,2
546,1343,38
547,131,16
548,546,0
549,194,1
550,28,0
551,674,4
552,1376,1
553,143,0
554,1530,49
555,733,1
556,1402,5
557,878,19
558,503,7
559,1091,3
560,1229,1
561,1042,2
562,268,12
563,1117,0
564,1007,3
565,1687,18
566,748,2
567,164,2
568,1125,2
569,1218,2
570,110,2
571,1007,1
572,1122,9
573,474,27
574,1112,2
575,1032,10
576,1502,1
577,770,1
578,999,6
579,1111,26
580,875,1
581,1320,0
582,1083,1
583,1200,0
584,567,3
585,872,0
586,1040,2
587,704,1
588,932,8
589,1509,2
590,1089,2
591,1301,3
592,947,0
593,1315,3
594,1162,1
595,1298,1
596,1243,3
597,1074,4
598,1509,1
599,990,13
600,969,2
601,877,3
602,1377,1
603,1324,5
604,1243,8
605,1373,0
606,777,7
607,1375,2
608,1371,1
609,1376,1
610,835,1
611,1509,1
612,1324,1
613,1512,0
614,61,1
615,1035,1
616,228,20
617,960,0
618,1377,1
619,1318,3
620,894,16
621,1587,20
622,770,0
623,1587,2
624,1246,13
625,1093,3
626,975,1
627,1015,0
628,1355,0
629,577,2
630,1375,7
631,191,28
632,493,15
633,1587,2
634,1375,87
635,1516,0
636,1510,1
637,1248,7
638,1096,0
639,1356,1
640,1356,1
641,1057,1
642,535,8
643,776,2
644,1320,29
645,1341,3
646,1509,2
647,156,4
648,1096,0
649,922,5
650,567,3
651,1137,1
652,523,1
653,873,1
654,1124,0
655,778,40
656,1648,37
657,770,2
658,933,12
659,299,7
660,19,18
661,1317,1
662,1215,8
663,1179,32
664,771,1
665,1072,1
666,1515,22
667,1635,8
668,1509,2
669,237,2
670,1006,0
671,767,0
672,1271,0
673,1403,0
674,1377,6
675,1515,6
676,1319,1
677,78,5
678,322,0
679,457,4
680,1520,1
681,138,1
682,491,15
683,779,0
684,1432,12
685,208,1
686,297,4
687,929,5
688,1266,3
689,373,15
690,983,0
691,1550,17
692,714,0
693,883,1
694,528,42
695,1082,0
696,1332,1
697,778,0
698,358,0
699,872,0
700,770,1
701,828,18
702,848,2
703,648,4
704,839,0
705,983,1
706,582,15
707,618,2
708,825,10
709,497,12
710,431,1
711,302,2
712,967,3
713,1355,0
714,254,0
715,776,0
716,1355,0
717,1427,1
718,770,0
719,1035,0
720,1516,3
721,364,3
722,532,1
723,230,14
724,1426,0
725,382,17
726,1073,2
727,706,8
728,993,4
729,405,0
730,1516,3
731,752,1
732,251,1
733,671,0
734,1078,1
735,1287,20
736,98,10
737,833,7
738,1713,0
739,63,0
740,1509,1
741,475,0
742,776,4
743,340,1
744,1516,2
745,1516,10
746,702,2
747,767,3
748,1506,1
749,1493,45
750,89,16
751,1739,15
752,183,11
753,1642,14
754,272,3
755,1078,4
756,1000,2
757,1215,19
758,771,0
759,1154,8
760,381,9
761,1708,23
762,66,23
763,616,4
764,1096,36
765,1489,10
766,1239,6
767,711,13
768,1738,8
769,1467,61
770,1163,0
771,1522,1
772,1001,1
773,830,20
774,1720,12
775,1406,25
776,1568,3
777,881,5
778,777,6
779,878,4
780,1050,14
781,1429,1
782,1242,0
783,1241,1
784,1430,5
785,1509,1
786,1009,1
787,1162,1
788,1035,0
789,1324,1
790,1352,1
791,1017,3
792,1087,2
793,815,4
794,461,0
795,776,6
796,1208,2
797,1317,2
798,1509,10
799,1178,2
800,461,5
801,1013,1
802,922,0
803,922,1
804,815,1
805,1201,0
806,1082,1
807,64,1
808,702,2
809,815,1
810,1420,1
811,1295,7
812,1085,3
813,1319,0
814,701,16
815,1116,0
816,89,0
817,1376,0
818,1406,4
819,273,0
820,1571,27
821,1322,0
822,792,2
823,975,7
824,1011,3
825,132,8
826,1244,0
827,1515,6
828,1744,6
829,878,0
830,706,0
831,221,1
832,1165,8
833,1204,0
834,1317,1
835,1068,1
836,1068,0
837,444,1
838,1302,3
839,240,3
840,470,1
841,1585,14
842,82,13
843,878,1
844,1521,0
845,1341,5
846,690,15
847,1177,10
848,690,0
849,240,8
850,798,2
851,1278,0
852,753,3
853,221,0
854,1481,8
855,1375,2
856,1436,1
857,776,2
858,1324,1
859,1236,1
860,1296,10
861,1051,1
862,609,10
863,1181,4
864,1125,1
865,979,1
866,304,2
867,934,31
868,1375,0
869,1512,0
870,1375,3
871,1403,0
872,1280,0
873,753,7
874,873,4
875,1292,10
876,291,1
877,124,41
878,753,0
879,1159,1
880,1096,9
881,975,0
882,1238,14
883,1324,2
884,404,6
885,1301,1
886,942,1
887,932,6
888,1055,8
889,229,1
890,604,0
891,776,0
892,1129,1
893,777,2
894,23,49
895,476,0
896,1300,24
897,1703,3
898,1196,1
899,1,20
900,592,0
901,676,1
902,798,1
903,776,1
904,631,0
905,208,1
906,1525,3
907,905,0
908,610,13
909,205,7
910,158,10
911,806,1
912,668,5
913,1350,1
914,369,15
915,1636,14
916,1575,3
917,1545,9
918,1464,1
919,579,1
920,1376,6
921,770,1
922,1047,14
923,274,1
924,295,4
925,1730,3
926,221,3
927,572,1
928,1377,1
929,785,1
930,320,0
931,473,5
932,52,32
933,252,1
934,306,6
935,1458,10
936,862,21
937,571,2
938,215,8
939,298,2
940,352,33
941,303,5
942,1237,1
943,15,6
944,1432,10
945,200,0
946,200,1
947,200,4
948,422,1
949,200,4
950,929,1
951,577,8
952,523,4
953,223,17
954,204,16
955,387,1
956,1236,2
957,1320,5
958,1300,6
959,1244,1
960,1049,1
961,1375,0
962,1168,0
963,1556,1
964,1449,1
965,1319,2
966,1294,1
967,1162,1
968,1168,1
969,975,3
970,814,2
971,1126,5
972,1117,0
973,1277,0
974,1514,0
975,636,2
976,998,0
977,1563,4
978,882,0
979,1672,2
980,379,1
981,1004,0
982,1244,1
983,1517,2
984,1350,1
985,612,2
986,1350,0
987,1516,0
988,1200,0
989,1299,0
990,1128,0
991,1352,2
992,1188,0
993,968,0
994,598,0
995,1511,0
996,771,0
997,776,1
998,234,5
999,1438,12
1000,1116,3
1001,1515,1
1002,1213,6
1003,933,0
1004,221,0
1005,206,1
1006,754,0
1007,770,0
1008,1327,2
1009,856,1
1010,474,0
1011,882,6
1012,1094,0
1013,1301,4
1014,1117,1
1015,1354,3
1016,1319,1
1017,599,2
1018,797,17
1019,374,0
1020,1343,6
1021,1141,1
1022,1375,2
1023,1209,1
1024,208,5
1025,815,1
1026,1295,0
1027,1516,1
1028,684,3
1029,461,0
1030,771,1
1031,968,0
1032,1296,3
1033,1211,1
1034,1538,1
1035,171,0
1036,886,3
1037,1520,1
1038,1057,1
1039,770,0
1040,727,0
1041,401,16
1042,1516,11
1043,1016,1
1044,1050,0
1045,1300,1
1046,1509,1
1047,1515,1
1048,839,0
1049,1633,19
1050,1433,1
1051,1451,1
1052,1298,0
1053,1352,1
1054,295,0
1055,975,1
1056,299,2
1057,1124,1
1058,1376,3
1059,886,1
1060,373,1
1061,1376,2
1062,1300,2
1063,1087,0
1064,316,17
1065,930,2
1066,1299,0
1067,255,0
1068,1000,0
1069,614,16
1070,241,1
1071,485,0
1072,1509,0
1073,1719,1
1074,528,6
1075,1435,27
1076,1110,24
1077,1288,4
1078,1351,3
1079,886,2
1080,478,4
1081,289,12
1082,1035,1
1083,1376,7
1084,325,1
1085,569,14
1086,1022,22
1087,484,0
1088,485,0
1089,484,1
1090,146,1
1091,1667,0
1092,1589,6
1093,1516,0
1094,1516,1
1095,1515,1
1096,128,6
1097,769,0
1098,1078,4
1099,1278,0
1100,726,2
1101,246,14
1102,1301,1
1103,1233,2
1104,1131,5
1105,1193,2
1106,1372,2
1107,713,0
1108,1196,8
1109,1167,0
1110,1052,3
1111,1241,1
1112,1381,6
1113,770,0
1114,1165,1
1115,1321,2
1116,319,9
1117,1317,5
1118,1244,0
1119,932,10
1120,795,2
1121,1560,1
1122,933,0
1123,1084,0
1124,1036,7
1125,913,2
1126,1068,7
1127,815,1
1128,1481,1
1129,776,3
1130,566,1
1131,1043,2
1132,488,1
1133,1377,2
1134,878,1
1135,1124,2
1136,2,1
1137,1375,0
1138,1124,32
1139,770,0
1140,1297,0
1141,1137,0
1142,1082,0
1143,1319,2
1144,1215,4
1145,1078,2
1146,1376,0
1147,512,1
1148,1278,0
1149,442,2
1150,715,1
1151,865,2
1152,1354,1
1153,65,1
1154,1375,6
1155,1280,0
1156,1323,1
1157,1402,1
1158,1455,2
1159,1517,0
1160,921,2
1161,1375,2
1162,1329,0
1163,1245,64
1164,1245,2
1165,1315,5
1166,1278,0
1167,1687,0
1168,771,10
1169,1299,0
1170,664,1
1171,273,0
1172,976,17
1173,1279,0
1174,1162,1
1175,660,0
1176,461,1
1177,27,0
1178,777,1
1179,770,2
1180,864,0
1181,1283,2
1182,1376,1
1183,975,1
1184,1509,8
1185,497,1
1186,776,1
1187,1375,23
1188,497,1
1189,776,0
1190,1373,8
1191,1515,1
1192,1300,7
1193,1283,24
1194,1332,2
1195,200,1
1196,1375,16
1197,1375,2
1198,1321,0
1199,546,0
1200,1428,2
1201,1458,18
1202,1646,0
1203,966,1
1204,1129,0
1205,1046,7
1206,1520,3
1207,806,1
1208,776,7
1209,1374,1
1210,872,0
1211,93,0
1212,1349,1
1213,1516,3
1214,1745,3
1215,1375,1
1216,1019,2
1217,1236,6
1218,885,1
1219,1429,1
1220,150,1
1221,478,0
1222,771,1
1223,1117,0
1224,1516,0
1225,1559,6
1226,703,0
1227,959,1
1228,777,2
1229,1517,1
1230,1035,1
1231,571,0
1232,1075,0
1233,1374,0
1234,932,0
1235,771,1
1236,1352,2
1237,1493,0
1238,1375,2
1239,1124,0
1240,10,2
1241,1702,12
1242,1669,8
1243,1322,1
1244,874,0
1245,1214,2
1246,1520,1
1247,70,0
1248,1205,1
1249,773,6
1250,511,1
1251,1517,2
1252,28,0
1253,1078,75
1254,771,3
1255,925,1
1256,453,2
1257,750,9
1258,1325,0
1259,1369,1
1260,1613,0
1261,1561,0
1262,1574,2
1263,770,1
1264,1516,1
1265,1090,2
1266,1298,0
1267,1430,0
1268,1341,1
1269,334,0
1270,730,1
1271,442,1
1272,352,1
1273,681,3
1274,1000,1
1275,1258,0
1276,1282,0
1277,1431,1
1278,569,0
1279,1353,0
1280,1075,0
1281,221,0
1282,1493,4
1283,1375,4
1284,922,0
1285,776,0
1286,160,0
1287,802,0
1288,1515,14
1289,577,2
1290,1208,3
1291,461,0
1292,1001,1
1293,916,1
1294,1375,15
1295,103,0
1296,1515,0
1297,1516,0
1298,134,0
1299,1199,0
1300,359,1
1301,0,0
1302,1199,1
1303,873,1
1304,740,2
1305,118,3
1306,1283,0
1307,1377,6
1308,1376,1
1309,479,0
1310,1318,2
1311,886,1
1312,274,0
1313,569,0
1314,1300,0
1315,699,7
1316,1014,0
1317,670,0
1318,854,0
1319,1450,1
1320,1516,0
1321,1617,0
1322,1657,1
1323,1458,4
1324,1319,1
1325,221,1
1326,1516,0
1327,569,0
1328,1573,0
1329,136,4
1330,777,1
1331,1515,7
1332,69,1
1333,1458,2
1334,134,0
1335,1377,1
1336,896,4
1337,756,11
1338,1065,0
1339,976,5
1340,16,2
1341,138,0
1342,425,0
1343,1510,23
1344,122,2
1345,1200,4
1346,496,0
1347,858,2
1348,657,4
1349,1301,11
1350,1075,6
1351,1116,2
1352,1172,16
1353,1693,5
1354,1510,0
1355,1509,3
1356,168,0
1357,1514,1
1358,929,9
1359,1697,4
1360,341,0
1361,1375,47
1362,971,0
1363,1482,6
1364,528,2
1365,1509,4
1366,1,1
1367,973,1
1368,512,1
1369,932,4
1370,567,0
1371,505,1
1372,932,1
1373,839,2
1374,1723,3
1375,770,0
1376,1449,4
1377,48,3
1378,771,0
1379,1704,2
1380,776,1
1381,664,1
1382,130,1
1383,1372,1
1384,1089,1
1385,839,1
1386,1663,27
1387,1520,1
1388,1423,0
1389,1219,1
1390,886,1
1391,1415,3
1392,1643,0
1393,666,4
1394,770,0
1395,48,0
1396,300,2
1397,297,0
1398,1375,1
1399,610,0
1400,376,2
1401,150,1
1402,1066,0
1403,853,0
1404,1355,1
1405,1215,1
1406,1535,1
1407,1124,1
1408,1075,0
1409,1588,1
1410,1174,6
1411,1250,1
1412,1597,0
1413,569,2
1414,1709,0
1415,722,1
1416,569,1
1417,1368,21
1418,244,0
1419,502,1
1420,943,1
1421,1376,24
1422,569,0
1423,754,0
1424,1204,2
1425,530,6
1426,924,1
1427,1515,1
1428,1516,1
1429,1161,0
1430,526,0
1431,1422,3
1432,1536,0
1433,1423,3
1434,273,1
1435,776,66
1436,104,1
1437,437,6
1438,1324,2
1439,1295,3
1440,95,1
1441,725,1
1442,1295,6
1443,512,1
1444,1295,3
1445,1043,1
1446,987,6
1447,136,0
1448,1142,3
1449,548,0
1450,1390,2
1451,916,1
1452,319,0
1453,341,3
1454,1452,1
1455,607,1
1456,615,2
1457,615,5
1458,1375,9
1459,692,0
1460,1379,1
1461,259,0
1462,877,1
1463,537,0
1464,975,0
1465,783,1
1466,1156,1
1467,1457,1
1468,555,0
1469,960,0
1470,1319,1
1471,1431,1
1472,1375,12
1473,1439,2
1474,770,2
1475,819,1
1476,723,1
1477,1383,19
1478,1366,7
1479,1294,0
1480,774,8
1481,1434,0
1482,108,0
1483,375,0
1484,1301,0
1485,1234,1
1486,1332,3
1487,1375,14
1488,562,5
1489,585,0
1490,1319,0
1491,1429,6
1492,1620,0
1493,1555,1
1494,1567,1
1495,876,0
1496,1375,5
1497,968,2
1498,1377,0
1499,1375,2
1500,222,2
1501,1277,6
1502,776,0
1503,398,3
1504,221,0
1505,776,0
1506,1149,2
1507,1534,3
1508,1378,0
1509,244,1
1510,228,1
1511,965,0
1512,1077,1
1513,227,0
1514,1723,4
1515,133,1
1516,1510,1
1517,1124,0
1518,757,1
1519,1376,1
1520,1372,3
1521,1085,1
1522,701,1
1523,1300,1
1524,429,0
1525,1352,10
1526,299,2
1527,881,2
1528,1376,2
1529,1063,0
1530,569,0
1531,872,4
1532,1534,4
1533,352,2
1534,1124,0
1535,1556,3
1536,770,1
1537,777,2
1538,693,2
1539,771,7
1540,576,1
1541,1393,8
1542,207,3
1543,1214,0
1544,771,1
1545,1663,1
1546,1515,0
1547,1509,5
1548,1375,3
1549,368,36
1550,1236,4
1551,979,0
1552,1438,1
1553,770,0
1554,1377,1
1555,1514,1
1556,133,1
1557,1712,2
1558,121,1
1559,776,1
1560,1377,2
1561,792,4
1562,647,0
1563,173,0
1564,1297,0
1565,975,14
1566,564,1
1567,1239,1
1568,891,9
1569,1239,5
1570,423,1
1571,1509,1
1572,776,1
1573,1605,3
1574,939,1
1575,458,1
1576,577,0
1577,475,0
1578,771,0
1579,1376,3
1580,1352,1
1581,6,3
1582,1281,3
1583,6,2
1584,776,1
1585,512,0
1586,811,1
1587,75,8
1588,778,1
1589,147,4
1590,1112,4
1591,546,0
1592,664,0
1593,1509,0
1594,2,3
1595,23,2
1596,1035,0
1597,44,0
1598,1035,0
1599,976,5
1600,1509,0
1601,1375,0
1602,1349,2
1603,1509,1
1604,1295,2
1605,776,1
1606,956,8
1607,1375,2
1608,1354,0
1609,89,1
1610,89,2
1611,770,0
1612,520,1
1613,777,1
1614,645,19
1615,1151,1
1616,1163,83
1617,28,3
1618,1084,0
1619,945,1
1620,1237,0
1621,744,7
1622,512,24
1623,1375,4
1624,701,9
1625,1449,1
1626,1334,0
1627,1253,0
1628,1449,0
